jurisdiction,iso,stripe_direct,paypal,adyen_checkout,local_cards_intl,fx_controls,group
Algeria,DZ,No [1],Partial — send & receive w/ forced auto-transfer to US account [2]; absent from 2026 payouts table [3],a) No [4] / b) No [5],No — dinar CIB cards not usable for international payment; FX via cash travel allowance only [6],"Strict — parallel premium 50–70%, FX rationing [7]",core
Bahrain,BH,No [1],"Yes — send, receive, withdraw [2][3]",a) No [4] / b) UNKNOWN [5],Yes — no documented restriction [8],"None — Art. VIII, open system [8]",core
Egypt,EG,No [1],Partial — send & receive w/ forced auto-transfer to US account [2]; absent from 2026 payouts table [3],a) No [4] / b) UNKNOWN [5],Partial→Yes — 2023–24 caps lifted Aug 2025; limits ≈$10k/mo persist at banks [9],"Moderate — liberalized Mar 2024; IMF: free of restrictions, but recent history of de facto limits [10]",core
Iraq,IQ,No [1],No — not listed in either PayPal source [2][3],a) No [4] / b) UNKNOWN [5],"Partial — CBI caps intl. card use ($5,000/mo basic; MCC restrictions) [11]","Moderate–strict — CBI administers FX access, card ceilings [11]",core
Jordan,JO,No [1],"Yes — send, receive, withdraw [2][3]",a) No [4] / b) UNKNOWN [5],Yes — no documented restriction [12],"None–moderate — Art. VIII, peg, IMF EFF program [12]",core
Kuwait,KW,No [1],"Yes — send, receive, withdraw [2][3]",a) No [4] / b) UNKNOWN [5],Yes — no documented restriction [13],"None — Art. VIII, system free of restrictions [13]",core
Lebanon,LB,No [1],No — not listed in either PayPal source [2][3],a) No [4] / b) UNKNOWN [5],"Partial — only ""fresh-dollar"" cards work internationally; pre-2019 accounts frozen [14]",Strict — informal controls since 2019; BdL Decision 13729 (Jul 2025) [14],core
Libya,LY,No [1],No — not listed in either PayPal source [2][3],a) No [4] / b) No [5],"Partial — $2,000/yr personal FX allowance usable via prepaid/Visa/Mastercard (CBL Circular 10/2025) [15]",Strict — CBL quota system for all FX uses [15],core
Morocco,MA,No [1],"Yes — send, receive, withdraw [2][3]",a) No [4] / b) UNKNOWN [5],"Partial — international e-commerce allowed within annual dotation (20,000 MAD individuals; up to 5M MAD firms) [16]",Moderate — convertibility for current ops within Office des Changes allowance regime [16],core
Oman,OM,No [1],"Yes — send, receive, withdraw [2][3]",a) No [4] / b) UNKNOWN [5],Yes — no documented restriction [17],"None — Art. VIII, free of restrictions/MCPs [17]",core
Palestine,PS,No [1],No — not listed; documented exclusion of West Bank/Gaza account holders [2][3][18],a) No [4] / b) UNKNOWN [5],"Partial/UNVERIFIED — Palestinian banks issue Visa/Mastercard that work internationally, but correspondent-banking friction; secondary sources only [18]",Moderate (structural) — no national currency; PMA regime under occupation constraints [18],core
Qatar,QA,No [1],"Yes — send, receive, withdraw [2][3]",a) No [4] / b) UNKNOWN [5],Yes — no documented restriction [19],"None — Art. VIII, peg, open system [19]",core
Saudi Arabia,SA,No [1],"Yes — send, receive, withdraw [2][3]","a) No [4] / b) Partial/UNVERIFIED — long-standing Riyadh operation & mada acquiring, but no KSA entity on the official country-terms page [5][20]",Yes — no limitation on outflows [21],None — no limitation on transfers; fixed peg since 1986 [21],core
Tunisia,TN,No [1],Partial — send-only (cannot receive) [2]; absent from 2026 payouts table [3],a) No [4] / b) UNKNOWN [5],"No/Partial — dinar cards not approved for non-TND transactions; narrow ""technology card"" exception (1,000 TND/yr individuals; 10k–100k TND firms) [22]","Strict — non-convertible dinar; allocation touristique 6,000 TND/yr [22]",core
UAE,AE,Yes — only MENA country on Stripe's list [1],"Yes — send, receive, withdraw [2][3]","a) No [4] / b) Yes — Checkout MENA FZ-LLC, CBUAE-regulated [5]",Yes — free of restrictions [23],"None — Art. VIII, free of restrictions/MCPs [23]",core
Yemen,YE,No [1],Partial — send-only (cannot receive) [2]; absent from 2026 payouts table [3],a) No [4] / b) No [5],UNKNOWN — 2025 measures restrict FX use; card-level rules unverified [24],"Strict — import-FX channeling, FCY-use prohibitions, limits on exchanges (2025) [24]",core
Syria,SY,No [1],No — not listed [2][3],a) No [4] / b) No [5],No (transition underway) — first Visa/Mastercard test transactions May 2026 after 15-year absence; not yet generally functional [25],Strict — post-sanctions reconnection (US sanctions lifted Jul 2025); SWIFT/network reintegration in progress [25],sanctioned/conflict-affected
Sudan,SD,No [1],No — not listed [2][3],a) No [4] / b) No [5],"No/UNVERIFIED — no primary central-bank rule located; IMF describes monetary collapse, FX shortage [26]","Strict — wide official/parallel gap, FX rationing, war economy [26]",sanctioned/conflict-affected
Iran,IR,No [1],No — not listed [2][3],a) No [4] / b) No [5],No — Iranian banking severed from Visa/Mastercard/SWIFT; domestic Shetab/Shaparak only [27],Strict — comprehensive sanctions; excluded from international payment system [27],sanctioned/conflict-affected
